malware_name,malware_package,malware_category,user_action
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,downApkDetected
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,downApkDetected
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,downApkDetected
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,downApkDetected
Android.Riskware.Agent.ONN,com.qnmd.asqhj.ta0h11,Riskware,downApkDetected
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,downApkDetected
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,downApkDetected
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,downApkDetected
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,downApkDetected
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,downApkDetected
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,downApkDetected
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,downApkDetected
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,downApkDetected
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,downApkDetected
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,downApkDetected
Android.Riskware.Porn.J,ygvyi.isffwo.mqbli,Riskware,realTimeDetected
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,downApkDetected
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,delete
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,downApkDetected
Android.Riskware.Porn.J,ygvyi.isffwo.mqbli,Riskware,delete
Android.Riskware.Drolock.aCOV,,Riskware,delete
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,delete
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,delete
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,delete
Android.Riskware.Drolock.aCOV,,Riskware,delete
Android.Riskware.Agent.PGK,,Riskware,delete
Android.Riskware.Agent.PGK,,Riskware,delete
Android.Riskware.Agent.ONN,com.qnmd.asqhj.ta0h11,Riskware,delete
Android.Riskware.Drolock.aCOV,,Riskware,delete
Android.Riskware.Agent.PGK,,Riskware,delete
Android.Riskware.Drolock.aCOV,,Riskware,delete
Android.Riskware.Agent.PGK,,Riskware,delete
Android.Riskware.Agent.PGK,,Riskware,delete
Android.Riskware.Agent.PGK,,Riskware,delete
Android.Riskware.Agent.PGK,,Riskware,delete
Android.Riskware.Agent.PGK,,Riskware,delete
Android.Riskware.Agent.PGK,,Riskware,delete
Android.Riskware.Agent.PGK,,Riskware,delete
Android.Riskware.Drolock.aCOV,,Riskware,downApkDetected
Android.Riskware.Agent.aCHXA,kr.co.lottecinema.lcm,Riskware,scanDetected
Android.Riskware.Agent.aCHXA,kr.co.lottecinema.lcm,Riskware,delete
Android.Riskware.Agent.NGW,com.drku.lpefqt,Riskware,scanDetected
Android.Riskware.Agent.gXZCUR,com.onair.live.tv,Riskware,scanDetected
Android.Riskware.Agent.gXZCUR,com.onair.live.tv,Riskware,delete
Android.Riskware.TestKey.rA,com.Playmeow.official_app85,Riskware,realTimeDetected
Android.Riskware.Agent.aDMJX,baro.tv,Riskware,scanDetected
Spyware.Android.Agent,com.xc3fff0e.xmanager,Spyware,realTimeDetected
Android.Riskware.TestKey.rA,com.mixvibes.crossdjapp,Riskware,scanDetected
Spyware.Android.Agent,com.xc3fff0e.xmanager,Spyware,delete
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.freshlightgames.dialogueadults,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,realTimeDetected
Android.Riskware.Agent.NCB,com.moteam.cuntmerge,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.TavernStudio.SwipeHealer,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.freshlightgames.dialogueadults,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.vocagames.wetwealth,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,realTimeDetected
Android.Riskware.Agent.NCB,com.moteam.cuntmerge,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.vocagames.wetwealth,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.TavernStudio.SwipeHealer,Riskware,realTimeDetected
Android.Riskware.Agent.NCB,com.moteam.cuntmerge,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.TavernStudio.SwipeHealer,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.freshlightgames.dialogueadults,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.TavernStudio.SwipeHealer,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.vocagames.wetwealth,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.vocagames.wetwealth,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,,Riskware,realTimeDetected
Android.Riskware.Agent.NCB,com.moteam.cuntmerge,Riskware,realTimeDetected
Android.Riskware.Packer.X,cosplay.ai.art.generator,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.freshlightgames.dialogueadults,Riskware,realTimeDetected
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,realTimeDetected
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,realTimeDetected
