malware_name,malware_package,malware_category,text
Android.Adware.Mulad.IM,com.bolo.callertheme,Adware,Android.Adware.Mulad.IM com.bolo.callertheme
Android.Adware.Mulad.IM,com.bolo.callertheme,Adware,Android.Adware.Mulad.IM com.bolo.callertheme
Android.Adware.Mulad.IM,com.bolo.callertheme,Adware,Android.Adware.Mulad.IM com.bolo.callertheme
Android.Adware.Mulad.IM,com.bolo.callertheme,Adware,Android.Adware.Mulad.IM com.bolo.callertheme
Adware.Android.Agent,com.sec.android.app.sbrowser.webapk.w760feceab7e64985eb34920e135193751,Adware,Adware.Android.Agent com.sec.android.app.sbrowser.webapk.w760feceab7e64985eb34920e135193751
Adware.Android.Agent,com.sec.android.app.sbrowser.webapk.w760feceab7e64985eb34920e135193751,Adware,Adware.Android.Agent com.sec.android.app.sbrowser.webapk.w760feceab7e64985eb34920e135193751
Android.Riskware.Downloader.ARX,com.kiloo.subwaysurf,Riskware,Android.Riskware.Downloader.ARX com.kiloo.subwaysurf
Android.Riskware.Agent.gHMIQ,com.ymaa.qigonghealthyjoints,Riskware,Android.Riskware.Agent.gHMIQ com.ymaa.qigonghealthyjoints
Android.Riskware.TestKey.rA,com.cmplay.dancingline,Riskware,Android.Riskware.TestKey.rA com.cmplay.dancingline
Android.Riskware.Agent.gHMIQ,com.ymaa.qigonghealthyjoints,Riskware,Android.Riskware.Agent.gHMIQ com.ymaa.qigonghealthyjoints
Android.Riskware.Agent.gHMIQ,com.ymaa.qigonghealthyjoints,Riskware,Android.Riskware.Agent.gHMIQ com.ymaa.qigonghealthyjoints
Android.Riskware.TestKey.rA,com.cmplay.dancingline,Riskware,Android.Riskware.TestKey.rA com.cmplay.dancingline
Android.Riskware.Agent.gHMIQ,com.ymaa.qigonghealthyjoints,Riskware,Android.Riskware.Agent.gHMIQ com.ymaa.qigonghealthyjoints
Android.Adware.Agent.BTK,com.ballhop.nearme.gamecenter,Adware,Android.Adware.Agent.BTK com.ballhop.nearme.gamecenter
Android.Adware.Agent.BTK,com.ballhop.nearme.gamecenter,Adware,Android.Adware.Agent.BTK com.ballhop.nearme.gamecenter
Android.Riskware.Agent.aEKGM,com.EternalStudio.GearFight,Riskware,Android.Riskware.Agent.aEKGM com.EternalStudio.GearFight
Android.Riskware.Agent.aEKGM,com.EternalStudio.GearFight,Riskware,Android.Riskware.Agent.aEKGM com.EternalStudio.GearFight
Android.Adware.Mulad.IN,com.bazkawqt.diist6.yiw0,Adware,Android.Adware.Mulad.IN com.bazkawqt.diist6.yiw0
Android.Adware.Mulad.IN,com.bazkawqt.diist6.yiw0,Adware,Android.Adware.Mulad.IN com.bazkawqt.diist6.yiw0
Android.Adware.Mulad.IN,com.bazkawqt.diist6.yiw0,Adware,Android.Adware.Mulad.IN com.bazkawqt.diist6.yiw0
Android.Riskware.Agent.gHXOE,com.goldenggkisslotileqe.game,Riskware,Android.Riskware.Agent.gHXOE com.goldenggkisslotileqe.game
Android.Riskware.PackMal.WY,com.gconstitution.tlyric.wregressionline,Riskware,Android.Riskware.PackMal.WY com.gconstitution.tlyric.wregressionline
Android.Riskware.SpyAgent.aBT,com.reader.sticks,Riskware,Android.Riskware.SpyAgent.aBT com.reader.sticks
Android.Riskware.SpyAgent.aBT,com.reader.sticks,Riskware,Android.Riskware.SpyAgent.aBT com.reader.sticks
Android.Riskware.Agent.gHXOE,com.goldenggkisslotileqe.game,Riskware,Android.Riskware.Agent.gHXOE com.goldenggkisslotileqe.game
Android.Riskware.PackMal.WY,com.gconstitution.tlyric.wregressionline,Riskware,Android.Riskware.PackMal.WY com.gconstitution.tlyric.wregressionline
Android.Riskware.SpyAgent.aBT,com.reader.sticks,Riskware,Android.Riskware.SpyAgent.aBT com.reader.sticks
Android.Riskware.SpyAgent.aBT,com.reader.sticks,Riskware,Android.Riskware.SpyAgent.aBT com.reader.sticks
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,Android.Riskware.Drolock.aCOV com.q0xpcd6.ayettd3
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,Android.Riskware.Drolock.aCOV com.q0xpcd6.ayettd3
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,Android.Riskware.Agent.PGK todayly6p.deltaepzpx.terminal27
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,Android.Riskware.Drolock.aCOV com.q0xpcd6.ayettd3
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,Android.Riskware.Agent.PGK todayly6p.deltaepzpx.terminal27
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,Android.Riskware.Agent.PGK primecn.titan6xk8.organizer1yh2x
Android.Riskware.Agent.ONN,com.qnmd.asqhj.ta0h11,Riskware,Android.Riskware.Agent.ONN com.qnmd.asqhj.ta0h11
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,Android.Riskware.Drolock.aCOV com.q0xpcd6.ayettd3
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,Android.Riskware.Agent.PGK todayly6p.deltaepzpx.terminal27
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,Android.Riskware.Agent.PGK primecn.titan6xk8.organizer1yh2x
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,Android.Riskware.Agent.PGK primecn.titan6xk8.organizer1yh2x
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,Android.Riskware.Drolock.aCOV com.q0xpcd6.ayettd3
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,Android.Riskware.Agent.PGK primecn.titan6xk8.organizer1yh2x
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,Android.Riskware.Agent.PGK todayly6p.deltaepzpx.terminal27
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,Android.Riskware.Drolock.aCOV com.q0xpcd6.ayettd3
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,Android.Riskware.Agent.PGK todayly6p.deltaepzpx.terminal27
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,Android.Riskware.Agent.PGK primecn.titan6xk8.organizer1yh2x
Android.Riskware.Porn.J,ygvyi.isffwo.mqbli,Riskware,Android.Riskware.Porn.J ygvyi.isffwo.mqbli
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,Android.Riskware.Agent.PGK primecn.titan6xk8.organizer1yh2x
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,Android.Riskware.Drolock.aCOV com.q0xpcd6.ayettd3
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,Android.Riskware.Agent.PGK todayly6p.deltaepzpx.terminal27
Android.Riskware.Porn.J,ygvyi.isffwo.mqbli,Riskware,Android.Riskware.Porn.J ygvyi.isffwo.mqbli
Android.Riskware.Drolock.aCOV,com.q0xpcd6.ayettd3,Riskware,Android.Riskware.Drolock.aCOV com.q0xpcd6.ayettd3
Android.Riskware.Agent.PGK,primecn.titan6xk8.organizer1yh2x,Riskware,Android.Riskware.Agent.PGK primecn.titan6xk8.organizer1yh2x
Android.Riskware.Agent.PGK,todayly6p.deltaepzpx.terminal27,Riskware,Android.Riskware.Agent.PGK todayly6p.deltaepzpx.terminal27
Android.Riskware.Agent.ONN,com.qnmd.asqhj.ta0h11,Riskware,Android.Riskware.Agent.ONN com.qnmd.asqhj.ta0h11
Android.Riskware.Agent.aCHXA,kr.co.lottecinema.lcm,Riskware,Android.Riskware.Agent.aCHXA kr.co.lottecinema.lcm
Android.Riskware.Agent.aCHXA,kr.co.lottecinema.lcm,Riskware,Android.Riskware.Agent.aCHXA kr.co.lottecinema.lcm
Android.Riskware.Agent.NGW,com.drku.lpefqt,Riskware,Android.Riskware.Agent.NGW com.drku.lpefqt
Android.Riskware.Agent.gXZCUR,com.onair.live.tv,Riskware,Android.Riskware.Agent.gXZCUR com.onair.live.tv
Android.Riskware.Agent.gXZCUR,com.onair.live.tv,Riskware,Android.Riskware.Agent.gXZCUR com.onair.live.tv
Android.Riskware.TestKey.rA,com.Playmeow.official_app85,Riskware,Android.Riskware.TestKey.rA com.Playmeow.official_app85
Android.Riskware.Agent.aDMJX,baro.tv,Riskware,Android.Riskware.Agent.aDMJX baro.tv
Spyware.Android.Agent,com.xc3fff0e.xmanager,Spyware,Spyware.Android.Agent com.xc3fff0e.xmanager
Android.Riskware.TestKey.rA,com.mixvibes.crossdjapp,Riskware,Android.Riskware.TestKey.rA com.mixvibes.crossdjapp
Spyware.Android.Agent,com.xc3fff0e.xmanager,Spyware,Spyware.Android.Agent com.xc3fff0e.xmanager
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,Android.Riskware.TestKey.rA com.miniit.fuck.fest
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,Android.Riskware.TestKey.rA com.performanceartist.asshacker
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,Android.Riskware.TestKey.rA com.miniit.fuck.fest
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,Android.Riskware.TestKey.rA com.performanceartist.asshacker
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,Android.Riskware.Agent.NWV com.ai.dalleai
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,Android.Riskware.TestKey.rA com.miniit.fuck.fest
Android.Riskware.TestKey.rA,com.freshlightgames.dialogueadults,Riskware,Android.Riskware.TestKey.rA com.freshlightgames.dialogueadults
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,Android.Riskware.TestKey.rA com.performanceartist.asshacker
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,Android.Riskware.Agent.NWV com.ai.dalleai
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,Android.Riskware.TestKey.rA com.miniit.fuck.fest
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,Android.Riskware.TestKey.rA com.performanceartist.asshacker
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,Android.Riskware.TestKey.rA com.miniit.fuck.fest
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,Android.Riskware.TestKey.rA com.performanceartist.asshacker
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,Android.Riskware.Agent.NWV com.ai.dalleai
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,Android.Riskware.TestKey.rA com.performanceartist.asshacker
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,Android.Riskware.TestKey.rA com.miniit.fuck.fest
Android.Riskware.Agent.NCB,com.moteam.cuntmerge,Riskware,Android.Riskware.Agent.NCB com.moteam.cuntmerge
Android.Riskware.TestKey.rA,com.TavernStudio.SwipeHealer,Riskware,Android.Riskware.TestKey.rA com.TavernStudio.SwipeHealer
Android.Riskware.TestKey.rA,com.freshlightgames.dialogueadults,Riskware,Android.Riskware.TestKey.rA com.freshlightgames.dialogueadults
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,Android.Riskware.TestKey.rA com.performanceartist.asshacker
Android.Riskware.Agent.NWV,com.ai.dalleai,Riskware,Android.Riskware.Agent.NWV com.ai.dalleai
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,Android.Riskware.TestKey.rA com.miniit.fuck.fest
Android.Riskware.TestKey.rA,com.vocagames.wetwealth,Riskware,Android.Riskware.TestKey.rA com.vocagames.wetwealth
Android.Riskware.TestKey.rA,com.performanceartist.asshacker,Riskware,Android.Riskware.TestKey.rA com.performanceartist.asshacker
Android.Riskware.TestKey.rA,com.miniit.fuck.fest,Riskware,Android.Riskware.TestKey.rA com.miniit.fuck.fest
