,precision,recall,f1-score,support
Adware,0.951048951048951,0.7351351351351352,0.8292682926829268,370.0
Misc,0.0,0.0,0.0,4.0
Riskware,0.8449339207048459,0.9845995893223819,0.9094357515410147,974.0
Spyware,0.25,0.2,0.2222222222222222,5.0
Trojan,0.9791666666666666,0.39166666666666666,0.5595238095238095,120.0
accuracy,0.868295994568907,0.868295994568907,0.868295994568907,0.868295994568907
macro avg,0.6050299076840926,0.46228027822483675,0.5040900151939948,1473.0
weighted avg,0.8782102855768037,0.868295994568907,0.8559902637797688,1473.0
